平台登入信息,,,,,,,,
数据表示内容,长度/字节,数据类型,描述及要求
平台登入时间,6,BYTE[6],时间定义表见文件doc.md
登出流水号,2,WORD,下级平台每登入一次，登入时间流水号自动加1，从1开始循环累加，最大值65531，循环周期为天
平台用户名，12，STRING,平台登入用户名
平台密码，20，STRING,平台登入密码
加密规则，1，BYTE,Ox01:数据不加密；Ox02:数据经过RSA加密；Ox03:数据经过AES128加密；OxFE:表示异常；OxFF:表示无效，其他预留；


